"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1999-10-16T10:31:15.790Z",34.6475,-116.3258333,4.43,4.04,"ml",16,56,NA,0.5,"ci","ci9574876","2017-02-09T02:26:55.622Z","17km WSW of Ludlow, CA","earthquake",1.9,43.32,0.236,31,"reviewed","ci","ci"
"1999-10-16T10:33:47.090Z",34.6161667,-116.3293333,6.303,4.08,"ml",13,70,NA,0.37,"ci","ci9574884","2017-02-09T02:31:40.129Z","19km SW of Ludlow, CA","earthquake",0.66,32,0.22,21,"reviewed","ci","ci"
"1999-10-16T10:54:12.220Z",34.5205,-116.2565,4.268,3.77,"ml",22,98,NA,0.21,"ci","ci9574908","2017-02-09T02:32:56.687Z","24km SSW of Ludlow, CA","earthquake",0.66,21.21,0.172,25,"reviewed","ci","ci"
"1999-10-16T10:56:56.210Z",34.702,-116.3046667,4.314,3.66,"ml",19,59,NA,0.24,"ci","ci9574916","2017-02-09T02:35:57.188Z","13km W of Ludlow, CA","earthquake",0.55,23.81,0.145,16,"reviewed","ci","ci"
"1999-10-16T11:04:32.680Z",34.432,-116.205,4.707,3.88,"ml",0,131.4,NA,0.249,"ci","ci9108687","2016-04-01T19:43:26.202Z","32km S of Ludlow, CA","earthquake",NA,NA,0.148,138,"reviewed","ci","ci"
"1999-10-16T11:05:27.180Z",34.4736667,-116.3,5.707,3,"mh",13,214,NA,0.22,"ci","ci9108743","2016-04-02T15:04:30.847Z","30km SSW of Ludlow, CA","earthquake",1.04,17.44,NA,0,"reviewed","ci","ci"
"1999-10-16T11:06:14.890Z",34.5885,-116.2836667,5.473,3,"mh",18,71,NA,0.56,"ci","ci10084578","2016-02-17T09:09:21.457Z","19km SW of Ludlow, California","earthquake",1.27,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T11:06:38.380Z",34.583,-116.282,-1.103,4.33,"ml",0,57.6,NA,0.192,"ci","ci9108750","2017-02-09T15:21:42.092Z","19km SW of Ludlow, CA","earthquake",NA,1.535,0.202,136,"reviewed","ci","ci"
"1999-10-16T11:07:23.300Z",34.603,-116.294,-1.203,3.82,"ml",0,82.7,NA,0.253,"ci","ci9108859","2016-04-02T07:47:59.129Z","18km SW of Ludlow, CA","earthquake",NA,4.912,0.048,21,"reviewed","ci","ci"
"1999-10-16T11:08:54.440Z",34.4651667,-116.2421667,-0.122,2.5,"mh",6,126,0.1945,0.06,"ci","ci3320794","2016-02-16T21:04:22.874Z","29km SSW of Ludlow, California","earthquake",0.74,1,NA,0,"reviewed","ci","ci"
"1999-10-16T11:10:17.350Z",34.6461678,-116.3311691,4.081,3.59,"ml",0,120,NA,0.25,"ci","ci9574948","2017-02-09T02:44:55.953Z","18km WSW of Ludlow, CA","earthquake",0.59,24.5,0.1,100,"automatic","ci","ci"
"1999-10-16T11:11:44.530Z",34.7001648,-116.3866653,-1.162,3.36,"ml",0,245,NA,0.27,"ci","ci9574952","2016-04-02T04:00:05.510Z","21km W of Ludlow, CA","earthquake",2.37,1.54,0.1,100,"automatic","ci","ci"
"1999-10-16T11:20:17.000Z",34.469,-116.2601667,5.268,3.5,"mh",24,118,NA,0.46,"ci","ci10084582","2016-02-17T11:33:22.543Z","30km SSW of Ludlow, California","earthquake",0.84,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T11:20:38.180Z",34.588,-116.29,0.206,3.86,"ml",20,92,0.2814,0.16,"ci","ci9108765","2016-04-02T11:54:14.991Z","19km SW of Ludlow, CA","earthquake",7.38,31.61,0.111,153,"reviewed","ci","ci"
"1999-10-16T11:21:13.420Z",34.454,-116.247,-1.162,3,"mh",0,134.1,NA,0.178,"ci","ci3321290","2016-04-01T22:19:44.687Z","31km SSW of Ludlow, CA","earthquake",NA,2.011,NA,0,"reviewed","ci","ci"
"1999-10-16T11:21:38.720Z",34.495,-116.253,-1.162,3.87,"ml",0,67.7,NA,0.202,"ci","ci9108894","2016-04-02T01:20:35.699Z","26km SSW of Ludlow, CA","earthquake",NA,0.753,0.124,20,"reviewed","ci","ci"
"1999-10-16T11:24:33.920Z",34.579,-116.2938333,4.989,3,"mh",23,218,NA,0.16,"ci","ci9108736","2016-04-02T11:54:46.238Z","20km SW of Ludlow, CA","earthquake",0.93,31.61,NA,0,"reviewed","ci","ci"
