publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p858093,earthquake,2016-11-13T11:51:03.676Z,2017-01-17T22:19:42.190Z,173.4546967,-42.35023117,4.549469386,4.866723061,M,,LOCSAT,confirmed,manual,iasp91,24,14,13,0.090643451,75.67521667,0.601378161,0
2016p858094,earthquake,2016-11-13T11:52:44.351Z,2017-01-15T21:29:49.706Z,173.6026306,-42.20107269,6.136439961,9.046556473,Mw(mB),,LOCSAT,confirmed,manual,iasp91,68,49,2,0.219898418,101.8690033,0.805537518,0.4
2016p858109,earthquake,2016-11-13T11:59:37.724Z,2017-01-17T21:03:57.938Z,173.8170471,-42.28684998,4.604215113,10.00060463,M,,LOCSAT,confirmed,manual,iasp91,66,38,8,0.17113255,175.3080482,1.069255323,0
2016p858118,earthquake,2016-11-13T12:06:39.670Z,2017-01-18T04:54:30.661Z,172.8027191,-42.58607864,4.0323017,0.525976896,M,,LOCSAT,confirmed,manual,iasp91,13,8,1,0.115056157,159.5478859,0.699250669,0
2016p858122,earthquake,2016-11-13T12:07:29.743Z,2017-01-18T21:47:39.913Z,173.6002655,-42.14527512,4.632073733,12.27823734,M,,LOCSAT,confirmed,manual,iasp91,36,26,6,0.261433899,111.3925552,0.6830191,0
2016p858144,earthquake,2016-11-13T12:17:58.157Z,2017-01-24T02:51:47.019Z,173.8181915,-42.19194794,4.506975759,16.86370659,M,,LOCSAT,confirmed,manual,iasp91,29,17,8,0.254572749,140.9641685,1.028350984,0
2016p858145,earthquake,2016-11-13T12:19:29.839Z,2017-01-24T03:45:55.917Z,172.8708496,-42.5918808,4.352516879,38.69797516,M,,LOCSAT,confirmed,manual,iasp91,37,20,7,0.074798279,89.90739441,0.872251979,0
2016p858147,earthquake,2016-11-13T12:20:40.905Z,2017-01-08T22:37:14.258Z,173.9790192,-42.28661728,5.033383097,9.752326965,M,,LOCSAT,confirmed,manual,iasp91,142,78,12,0.260339797,173.8290176,0.884984786,0
2016p858149,earthquake,2016-11-13T12:22:20.379Z,2016-12-20T04:42:46.859Z,172.8751831,-42.62676239,4.6252295,11.88705063,M,,LOCSAT,confirmed,manual,iasp91,50,28,5,0.092643797,85.39497232,0.808884886,0
2016p858151,earthquake,2016-11-13T12:23:09.937Z,2017-01-24T22:39:31.981Z,173.1503754,-42.45174408,5.184655113,10.00735474,M,,LOCSAT,confirmed,manual,iasp91,45,23,7,0.182236537,91.99476624,0.662178137,0
2016p858152,earthquake,2016-11-13T12:23:37.329Z,2017-01-25T01:49:57.573Z,173.1630249,-42.52782059,4.934253935,5.436423779,M,,LOCSAT,confirmed,manual,iasp91,31,19,3,0.122152604,95.6881485,0.753924662,0
2016p858150,earthquake,2016-11-13T12:24:25.072Z,2017-01-24T21:54:52.465Z,173.2032928,-42.43663406,4.618213367,8.100306511,M,,LOCSAT,confirmed,manual,iasp91,41,24,7,0.213608816,89.22409058,0.644780533,0
2016p858156,earthquake,2016-11-13T12:25:55.365Z,2017-01-25T02:19:47.586Z,172.8690033,-42.6702919,5.258754998,10.12402534,M,,LOCSAT,confirmed,manual,iasp91,52,34,17,0.059321851,82.46899414,0.905893223,0
2016p858160,earthquake,2016-11-13T12:28:00.311Z,2017-01-25T02:54:57.608Z,173.736557,-42.32509232,5.156143227,18.83562851,M,,LOCSAT,confirmed,manual,iasp91,67,39,25,0.10843464,142.8908081,0.985436243,0
2016p858168,earthquake,2016-11-13T12:31:47.268Z,2017-01-25T04:13:24.432Z,172.8258057,-42.64306641,4.033911781,8.546375275,M,,LOCSAT,confirmed,manual,iasp91,29,16,5,0.061055698,110.5593174,0.52701476,0
2016p858171,earthquake,2016-11-13T12:32:21.969Z,2017-01-26T02:02:00.816Z,173.4971466,-42.27850342,4.40973561,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,11,5,0.201181635,138.1508789,1.214788195,0
2016p858172,earthquake,2016-11-13T12:34:18.628Z,2017-01-26T02:59:23.727Z,172.9144745,-42.62500381,4.129002677,13.33457756,M,,LOCSAT,confirmed,manual,iasp91,28,15,6,0.102829501,77.07518005,0.685647713,0
2016p858166,earthquake,2016-11-13T12:35:32.964Z,2017-01-26T03:38:40.955Z,172.8868103,-42.64937592,3.872181924,11.65655899,M,,LOCSAT,confirmed,manual,iasp91,20,10,6,0.082163751,94.67842102,0.467065031,0
2016p858178,earthquake,2016-11-13T12:37:44.960Z,2017-01-26T04:30:33.288Z,173.3363647,-42.40984726,4.839225459,6.058712959,M,,LOCSAT,confirmed,manual,iasp91,54,41,38,0.256533712,92.71785736,0.90800144,0
2016p858184,earthquake,2016-11-13T12:40:54.687Z,2017-03-20T21:23:49.647Z,173.3327939,-42.42881713,4.850520403,8.046875,MLv,,NonLinLoc,confirmed,manual,nz3drx,20,14,16,0.15279379,96.77691006,0.38256537,0.217387751
2016p858185,earthquake,2016-11-13T12:41:24.282Z,2017-06-28T02:58:46.384Z,173.1735229,-42.52948761,4.48586194,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,10,3,0.126224101,150.2723465,0.774744895,0
2016p858192,earthquake,2016-11-13T12:45:10.450Z,2017-06-29T01:43:19.561Z,173.2827759,-42.49598694,4.538374653,7.01670742,M,,LOCSAT,confirmed,manual,iasp91,26,16,10,0.205766812,123.8701477,1.122599463,0
2016p858199,earthquake,2016-11-13T12:48:34.339Z,2017-06-29T04:18:21.508Z,173.7342377,-42.29551315,4.4049695,16.41565514,M,,LOCSAT,confirmed,manual,iasp91,19,14,6,0.188261941,155.1967239,0.92588165,0
2016p858206,earthquake,2016-11-13T12:52:19.288Z,2017-06-29T04:43:26.968Z,173.6719208,-42.22275162,4.474042451,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,19,13,0.216821522,148.4666176,0.825230439,0
2016p858207,earthquake,2016-11-13T12:52:52.722Z,2017-06-29T05:27:31.686Z,173.581665,-42.14778519,5.398860153,9.475849152,M,,LOCSAT,confirmed,manual,iasp91,29,20,38,0.248534933,106.3064461,0.809990967,0
2016p858213,earthquake,2016-11-13T12:56:17.108Z,2017-06-29T23:07:13.987Z,173.7507935,-42.54594803,4.507018761,6.083966732,M,,LOCSAT,confirmed,manual,iasp91,22,14,9,0.130364195,226.2197723,0.585121135,0
2016p858251,earthquake,2016-11-13T13:14:35.859Z,2017-07-04T03:46:12.503Z,174.0286407,-42.03466415,3.999210952,5.770973682,M,,LOCSAT,confirmed,manual,iasp91,22,12,6,0.086414188,178.0052071,0.571876757,0
2016p858250,earthquake,2016-11-13T13:15:47.363Z,2017-07-03T23:32:45.002Z,173.2635193,-42.49452972,4.370798411,11.18840599,M,,LOCSAT,confirmed,manual,iasp91,27,16,9,0.199114099,100.8582306,0.758572017,0
2016p858254,earthquake,2016-11-13T13:17:48.250Z,2017-07-04T04:48:41.636Z,173.8178558,-42.34515381,4.667221807,11.63631344,M,,LOCSAT,confirmed,manual,iasp91,24,13,8,0.128876373,188.489212,0.678272493,0
2016p858279,earthquake,2016-11-13T13:31:27.507Z,2017-07-06T02:05:55.601Z,173.6455231,-42.2741127,5.987634877,13.95416355,M,,LOCSAT,confirmed,manual,iasp91,46,31,103,0.154010966,109.0202827,0.663800104,0
2016p858281,earthquake,2016-11-13T13:33:38.485Z,2017-07-06T03:23:17.403Z,173.8206482,-42.2379303,4.405247551,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,9,5,0.214017823,178.5390282,1.578221726,0
2016p858290,earthquake,2016-11-13T13:37:25.009Z,2017-07-06T04:23:06.902Z,173.1970978,-42.4613266,4.342912165,10.46934795,M,,LOCSAT,confirmed,manual,iasp91,14,10,4,0.190323934,159.3605385,0.858700807,0
2016p858298,earthquake,2016-11-13T13:40:04.250Z,2017-07-06T23:43:13.785Z,173.8137512,-42.02533722,4.05386694,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,51,39,18,0.143061414,126.1332245,0.900563161,0
2016p858300,earthquake,2016-11-13T13:42:29.986Z,2017-07-07T01:58:28.495Z,173.6781006,-42.28810883,4.20705136,10.78446865,M,,LOCSAT,confirmed,manual,iasp91,38,23,20,0.137647063,122.9029083,0.803021276,0
2016p858301,earthquake,2016-11-13T13:43:03.216Z,2017-07-07T04:12:09.394Z,173.8029327,-42.05459595,4.231708975,11.07826233,M,,LOCSAT,confirmed,manual,iasp91,62,34,18,0.165723488,127.1503677,0.75903865,0
2016p858305,earthquake,2016-11-13T13:44:23.978Z,2017-07-07T03:39:12.262Z,173.7473755,-42.22655106,4.054174361,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,17,9,0.204925522,133.4042549,0.837470245,0
